text,label
"I saw the movie late one night on cable and could not believe how bad it was. I usually enjoy bad movies, but this one was so revolting that it wasn't even entertaining. Some of the highlights of this film include the absurd music which is constantly playing throughout the movie, the hideous special effects (when someone is shot with a laser gun they turn neon green and promptly disintegrate), and the disgusting acting. The acting, in fact, is what I feel steals the show. I didn't recognize any of the actors in the movie, and I hope that I never have to see any of them again. Overall, I recommend renting this movie (if you can find it; I can't imagine a video store carrying this garbage) just so that you can learn to appreciate quality films after seeing this trash.",0
"As a member of the cast, I was a member of the band at all the basketball games, I would like to let the world know after being in the movie, that we were not allowed to see it since it was banned in Oregon. This was due to the producers and the director breaking the contract with the University of Oregon where it was shot. Seems that the U of O sign was shown. While we were shooting, we were allowed to eat several meals with the cast and production staff. Mr Nicholson was quite memorable for being one of the most ill-mannered men I have ever met. Quite a time for a young 20 year old. BUt certainly not what campus life was really like in the late 60's and early 70's despite what Hollywood may think. Trombone player from Oregon",0
"... or an audience. A quick recap....<br /><br />So you've got this doctor who's been experimenting with stolen body parts for some vague reason. He wants to perfect transplants, but feels he needs to do this in his basement. WTF??? And then suddenly, unfortunately, and conveniently, his fiancé gets her head cut off in a traffic accident that HE'S responsible for. Agonized with grief, he preserves her head in a lasagna pan (or is it strudel?) and pumps it full of ""adreno-serum"" (sic) to keep it alive. And then she awakes, talking her head off (so to speak) even though her neck was obviously severed at the vocal cords, and she has no lungs so she couldn't speak even if she had 'em. Seems the ungrateful b*tch doesn't appreciate all that her fiancé has done for her. Just like a woman.....<br /><br />Then his grief turns to horniness as he sees the possibility of grafting his beloved's head onto the body of the first sleazy bimbo he can pick up off the street. Meanwhile, the doctor's assistant, a sort of dime-store Igor, gets into philosophical arguments with the head, who has struck up a telekinetic friendship with the ""monster in the closet"" (every mad scientist has one). Eventually the screenwriter realizes that he can't keep inflicting his misogyny and fear of intimacy issues on the audience ad infinitum, so he kills everybody, then presumably goes to the bank to cash the check before the movie's financial backers have a chance to stop payment on it. <br /><br />Have I mentioned that I think this is a bad movie?<br /><br />Someone should tell Turner Classic Movies to stop showing that edited version without the gory stuff. The sight of the assistant with his arm ripped off, pirouetting around the house without leaving much blood anywhere is just too precious.",0
"This is not a horror film, but a boring sex movie. A very bad movie, to be avoided by any serious horror fan. No plot, awful acting and annoying music. If you only watch the trailer you will know enough... It's a shame that such thing is available on VHS or video while there are so many good movies unavailable. If you like vampires try the Hammer Productions or the Italian Gothic from Mario Bava and Antonio Margheriti instead. Those are masterpieces if you compare this with this trash. Rating = even ""1"" is too much! And believe me, I am not the only one with this opinion.",0
"I actually liked this movie until the end. Sure, it was cheesy and pretty unlikely but still it kept my attention on a rainy afternoon. Until the end, that is. For her final performance at the prestigious classical conservatory where she has struggled to catch-up to the other classically trained students, what does the main character do? Wow them with her grasp and execution of this time honored musical tradition? No. She tortures and butchers the great sensuous Habanera from Carmen and turns it into an utterly forgettable Brittany Spears-wannabe pop song. My ears bled! And, in the supreme moment of horror, her teachers gave her a standing ovation! Any teacher not in a Spears-induced fantasy would have failed her on the spot. Save your time, save your ears - skip this movie!",0
"Those of you who, like me, were disappointed with the original 1995 horror yarn, ""The Fear"" will find more to be disappointed with in this silly little sequel. It sort of follows a similar plot, but it is impossible to connect to the original, with the exception of the presence of Morty, the mannequin monster made of wood. Here is a brief overview.<br /><br />Twenty years after Mike Hawthorne (Gordon Currie, in a decent performance) witnesses his father brutally murder his mother and then take his own life, Mike is still suffering from the fear of that day. In hopes of ridding his fear, Mike takes his girlfriend and a bunch of friends up to his grandparents' home. His plan is for everyone to dress up in costumes that represent their fears, and then present the fears to the mannequin Morty. According to an Indian friend, this process is supposed to magically take away one's fear. What Mike doesn't know is that Morty is possessed with his father's spirit, and begins killing off the friends...or is it really Mike himself doing the killings? Who cares?<br /><br />A have a few troubles with this film. The first lies with Morty. I thought the original made Morty look rather convincing. This time, it is painfully obvious Morty is a man (actor Jon Fedele) in a fake looking suit. This can especially be seen in early scenes, where Morty is still supposed to be inanimate, but if you watch closely you can see him blinking. Another trouble is that most of the characters don't try hard enough. Some of them do, namely Betsy Palmer, of Friday the 13th fame, who was excellent in this film. But most of them don't make the effort or weren't given the chance. Finally, there are the killings. The opening scenes involving ax murders were very convincing. Actually, when I saw them I thought I was in for a good movie. When the second half of the movie arrives, and the killings really start, everything falls to pieces. Deaths are either uncreative, unseen, or foreseen (glimpses of the next scene as Currie has a blackout). One character dies in the end and no one, including the viewer, even notices. While more characterization was needed in the beginning half, it wasn't too bad. The second half was. I think new director Chris Angel got to this point and really didn't know how to shoot the violent scenes, so they turned out real sloppy and pedestrian. A silly ending doesn't help either. Thus, unless you really loved the original and enjoy plucking splinters out from under your skin, you should probably skip ""The Fear 2: Halloween Night."" Zanatos' score: 4 out of 10.",0
"I would like to know why John Amos left the show, and how did he die off the show again? I couldn't relate to everything, but sometimes they hit home with the problems they were facing. By the way, did they ever make it out of the ghetto? I think the episode with the black Jesus was my favorite. We got to see them experience a few good times. something they didn't have very often. I wish they would bring the show back. During the daytime so people can actually stay up to watch. I don't think a movie or a new show would work. Especially without the original cast. They are really what made Good Times GoodTimes. These are my questions and comments. Thank You!!",1
I thought it was a pretty good movie and should have been released in theaters first. It wouldn't have been a big Blockbuster but it would have made some pretty good money. The movie has suspense and makes you wonder just how much of this is going on in the real world. Justin Timberlake did a good job. I wasn't expecting Justin Timberlake to do that good a job. Considering it is his first movie he did a good job. This is a movie that is good to pick up and watch when you just don't know what you want to rent that night. It should go pretty well. The cast was great. So I highly recommend that everyone checks this movie out!,1
"I grew up watching this movie ,and I still love it just as much today as when i was a kid. Don't listen to the critic reviews. They are not accurate on this film.Eddie Murphy really shines in his roll.You can sit down with your whole family and everybody will enjoy it.I recommend this movie to everybody to see. It is a comedy with a touch of fantasy.With demons ,dragons,and a little bald kid with God like powers.This movie takes you from L.A. to Tibet , of into the amazing view of the wondrous temples of the mountains in Tibet.Just a beautiful view! So go do your self a favor and snatch this one up! You wont regret it!",1
"Two years ago at Sundance I loved Josh Kornbluth's directing debut-Haiku Tunnel. So I was looking forward to his brother (and frequent collaborator) Jacob's, The Best Thief in the World. This is a drama about a seemingly good kid growing up in a lower-class area of New York. The movie is not without its poignant moments. But at times it is as if Kornbluth is working way too hard to state the obvious: Life can be very difficult for some people. And life isn't fair.<br /><br />More subtle, and more important, is our understanding that despite all of these somewhat abhorrent cultural underpinnings and the anti-social behavior they may spawn, these characters have no shortage of goodness and humanity. We can recoil at their language and their living conditions, but we are cannot discount their intent. And in fact, their struggles to maintain a family under such adversity has a certain nobility that most of us can barely appreciate. Kornbluth grew up in this neighborhood, and his compassion for the people is evident throughout.<br /><br />Having said all this, The Best Thief in the World suffers from many painful flaws (including the title). The characters aren't very believable. The writing is uneven. And the plot-line is barely discernible. And for many the most disturbing is that Kornbluth uses two young black boys mimicking gangsta rap between scenes. To each his own: But while I don't question the potential realism of this phenomenon, it pains me to see 5-year-old children mf'ing and talking about having sex with a line-up of women. It's unnecessary shock value and is a forced bit of borrowed interest.",0
